NUMBERS;NAME;GROUP;DESCRIPTION;STATUS
E476;Polyglycerol polyricinoleate;emulsifier;E476 is a natural emulsifier and antioxidant. Polyglycerol polyricinoleate is synthesized from molten fatty acids of castor oil and polyglycerol. It is used in substitution of cocoa butter and reduce fat. The most used raw material is vegetable: soybean oil, which is usually extracted from a total or partially transgenic plant. This oil can also be hydrogenated. However, a source of animal fat, including pork. To extract vegetable fatty acids, toxic hydrocarbon derivatives such as hexane or tetrachlorethylene are often used. Currently serious harmful effects are admitted, such as breast cancer, hypercholesterolemia, atherosclerosis, diabetes (insulin resistance), cardiovascular risks, hepatic dysfunction, reproductive toxicity with obstetric effects, as psychiatric consequences proven or suspected.  The origin of these fatty acids can be obtained from vegetable fat (in this case it is Halal) or animal fat (in this case it is Haram).  For this reason it is Mushbooh.;Doubtful, should be certified
E477;Propane-1,2-diol esters of fatty acids, propylene glycol esters of fatty acids;emulsifier;E477 is a natural emulsifier and antioxidant. It is obtained by synthesis of propylene glycol (E1520) and fatty acids. The most used raw material is vegetable: soybean oil, which is usually extracted from a total or partially transgenic plant. This oil can also be hydrogenated. However, a source of animal fat, including pork. It is used to lengthen the time of a product and to be in a wet state (avoid drying). To extract vegetable fatty acids, toxic hydrocarbon derivatives such as hexane or tetrachlorethylene are often used. Currently serious harmful effects are admitted, such as breast cancer, hypercholesterolemia, atherosclerosis, diabetes (insulin resistance), cardiovascular risks, hepatic dysfunction, reproductive toxicity with obstetric effects, as psychiatric consequences proven or suspected.  The origin of these fatty acids can be obtained from vegetable fat (in this case it is Halal) or animal fat (in this case it is Haram).  For this reason it is Mushbooh.;Doubtful, should be certified
E478;Lactylated fatty acid esters of glycerol and propane-1;emulsifier;E478 is a natural emulsifier and antioxidant. Combination of lactic acid (E270), glycerol (E422), propanediol (E1520) and natural fats fatty acids (E570). The origin of the fat is essentially vegetable, but it does not exclude an animal origin, including the pig. It is used to form or preserve a mixture of substances that normally can not be mixed, for example. oil and water.    Currently serious harmful effects are admitted, such as breast cancer, hypercholesterolemia, atherosclerosis, diabetes (insulin resistance), cardiovascular risks, hepatic dysfunction, reproductive toxicity with obstetric effects, as psychiatric consequences proven or suspected. The origin of these fatty acids can be obtained from vegetable fat (in this case it is Halal) or animal fat (in this case it is Haram). For this reason it is Mushbooh.;Doubtful, should be certified
E479;Thermally oxidized soya bean oil interacted with mono- and diglycerides of fatty acids;emulsifier;E479 is a natural emulsifier. The most used raw material is vegetable: soybean oil, which is usually extracted from a total or partially transgenic plant. This oil can also be hydrogenated. However, a source of animal fat, including pork. To extract vegetable fatty acids, toxic hydrocarbon derivatives such as hexane or tetrachlorethylene are often used. The origin of the oils, both soy glycerides and fatty acids, is likely to be transgenic. The additive officially contains a very small amount of oxirane, a toxic and carcinogenic agent. It is used in oils to make frying and industrial oils. The origin of these fatty acids can be obtained from vegetable fat (in this case it is Halal) or animal fat (in this case it is Haram). For this reason it is Mushbooh.;Doubtful, should be certified
E480;Dioctyl sodium sulfosuccinate;emulsifier;E480 is a natural emulsifier and an antioxidant. Produced by reaction between a suitable alcohol and anhydrous maleic acid, followed by a reaction with sodium bisulfite. Little information available as a food additive. Several sources report a possible laxative effect. As there is little information about this additive, we suspect the alcohol manipulations that exist. For this reason we consider it Mushbooh.;Halal
E481(i);Sodium stearoyl-2-lactylate;"emulsifier, flour
treatment agent,
foaming agent,
stabilizer";E481 is a synthetic emulsifier and a stabilizer. It is composed of stearic acid (a saturated fatty acid), lactic acid (E270) and is neutralized with the sodium base. It is often reported that they are harmless or harmless within the limits of the allowable daily intake. It is an additive whose safety is little known, risk of digestive disorders. Sometimes it is thought that it may contain a mixture with pork fat (PIG FAT). It is advisable to avoid it. For this reason it is Mushbooh.;Doubtful, should be certified
E482(i);Calcium stearoyl-2-lactylate;"emulsifier, flour
treatment agent,
foaming agent,
stabilizer";E482 is a synthetic emulsifier and a stabilizer. It is composed of stearic acid (a saturated fatty acid), lactic acid (E270) and is neutralized with the sodium base. It is divided into 2 classes: Stearoyl calcium lactylate and calcium oleic lactylate. It is often reported that they are harmless or harmless within the limits of the allowable daily intake. It is an additive whose safety is little known, risk of digestive disorders. Sometimes it is thought that it may contain a mixture with pork fat (PIG FAT). It is advisable to avoid it. For this reason it is Mushbooh.;Doubtful, should be certified
E483;Stearyl tartrate;flour treatment agent;E483 is a synthetic emulsifier and a stabilizer. A combination of stearic acid and tartaric acid (E334), which results in a mixture of several compounds. Tartaric acid exists, among other things, in abundance in grapes. It is the origin of the tartar deposited in the wine bottles. Stearic acid is a fatty acid that is abundant in all animal or vegetable fats to a lesser extent. Its commercial version is often a mixture of stearic and palmitic acid. It is often reported that they are harmless or harmless within the limits of the allowable daily intake. It is an additive whose safety is little known, risk of digestive disorders.  Sometimes it is thought that it may contain a mixture with pork fat (PIG FAT).  It is advisable to avoid it. For this reason it is Mushbooh.;Doubtful, should be certified
E484;Stearyl citrate;emulsifier;A combination of stearic acid and citric acid, which results in a mixture of several compounds. Stearic acid is a fatty acid that is abundant in all animal or vegetable fats to a lesser extent. Its commercial version is often a mixture of stearic and palmitic acid. In general it is reported harmless. It is a chemical whose safety is little known, with risk of digestive alterations. The origin of these fatty acids can be obtained from vegetable fat (in this case it is Halal) or animal fat (in this case it is Haram). For this reason it is Mushbooh.;Doubtful, should be certified
E485;Sodium stearoyl fumarate;emulsifier;It is a synthetic ester of fumaric acid (E297) and stearic acid (E570). A second chemical reaction makes it possible to produce a sodium salt. The origin is fat (animal or vegetable). It is used to form or preserve a mixture of substances that normally can not be mixed, for example: oil and water. It does not appear to be subject to special precautions, although the pure substance is dangerous by ingestion. The origin of these fatty acids can be obtained from vegetable fat (in this case it is Halal) or animal fat (in this case it is Haram). For this reason it is Mushbooh.;Haram
E487;Sodium laurylsulfate;emulsifier;It is a synthetic ester of lauric acid (E297) and sulfuric acid (E570). This ester is neutralized with sodium carbonate (E500i). It is a strong ionic surfactant that, in addition to its food allocation by Codex, is used in household products such as toothpastes, shampoos, shaving foams or bubble baths for its thickening effects and its ability to create a foam. E487 is generally synthesized by treating lauric alcohol with sulfur trioxide gas (industrial method). The product obtained is then neutralized by the addition of sodium hydroxide or carbonate. Lauryl alcohol is usually derived from cheap coconut or palm oil by hydrolysis, which releases its fatty acids, followed by hydrogenation. The pure substance remains classified as harmful by ingestion, inhalation and dermal absorption. There are toxic effects by ingestion. These are reactions of allergic sensitivity through cosmetics, toothpastes, etc. that are reported more frequently.  The origin of these fatty acids can be obtained from vegetable fat (in this case it is Halal) or animal fat (in this case it is Haram).  For this reason it is Mushbooh.;Doubtful, should be certified
E490;Propane-1,2-diol;Thickener, stabilizer, emulsifiers;Synthetic product prepared from propylene from oil.;Halal
E491;Sorbitan monostearate;"emulsifier,
stabilizer";It has been produced from sorbitol (E420) and stearic acid, a saturated fatty acid. The origin of this acid is more frequently vegetable (and transgenic), but an animal, porcine and or bovine source is still possible. In high doses: organ injuries, diarrhea, bladder stones. These doses would be reached from 150 grams of fine pasta or 300 grams of dessert or sweet. The origin of these fatty acids can be obtained from vegetable fat (in this case it is Halal) or animal fat (in this case it is Haram). For this reason it is Mushbooh.;Doubtful, should be certified
E492;Sorbitan tristearate;"emulsifier,
stabilizer";It has been produced from sorbitol (E420) and stearic acid, a saturated fatty acid. The origin of this acid is more frequently vegetable (and transgenic), but an animal, porcine and or bovine source is still possible. In high doses: organ injuries, diarrhea, bladder stones. These doses would be reached from 150 grams of fine pasta or 300 grams of dessert or sweet. The origin of these fatty acids can be obtained from vegetable fat (in this case it is Halal) or animal fat (in this case it is Haram). For this reason it is Mushbooh.;Doubtful, should be certified
E493;Sorbitan monolaurate;"emulsifier,
stabilizer";It has been produced from sorbitol (E420) and lauric acid, a saturated fatty acid. The origin of this acid is more frequently vegetable (and transgenic), but an animal, porcine and or bovine source is still possible. In high doses: organ injuries, diarrhea, bladder stones. These doses would be reached from 150 grams of fine pasta or 300 grams of dessert or sweet. The origin of these fatty acids can be obtained from vegetable fat (in this case it is Halal) or animal fat (in this case it is Haram). For this reason it is Mushbooh.;Doubtful, should be certified
E494;Sorbitan monooleate;"emulsifier,
stabilizer";It is produced from sorbitol (E420) and oleic acid, a monounsaturated fatty acid. The origin of this acid is more frequently vegetable (and transgenic), but an animal, porcine and or bovine source is still possible. In high doses: organ injuries, diarrhea, bladder stones. These doses would be reached from 150 grams of fine pasta or 300 grams of dessert or sweet. The origin of these fatty acids can be obtained from vegetable fat (in this case it is Halal) or animal fat (in this case it is Haram). For this reason it is Mushbooh.;Doubtful, should be certified
E495;Sorbitan monopalmitate;emulsifier;It has been produced from sorbitol (E420) and palmitic acid, a saturated fatty acid. The origin of this acid is more frequently vegetable (and transgenic), but an animal, porcine and or bovine source is still possible. In high doses: organ injuries, diarrhea, bladder stones. These doses would be reached from 150 grams of fine pasta or 300 grams of dessert or sweet. The origin of these fatty acids can be obtained from vegetable fat (in this case it is Halal) or animal fat (in this case it is Haram). For this reason it is Mushbooh.;Doubtful, should be certified
E496;Sorbitan trioleate;emulsifier;It is produced from sorbitol (E420) and oleic acid, a monounsaturated fatty acid. The origin of this acid is more frequently vegetable (and transgenic), but an animal, porcine and or bovine source is still possible. In high doses: organ injuries, diarrhea, bladder stones. These doses would be reached from 150 grams of fine pasta or 300 grams of dessert or sweet. The origin of these fatty acids can be obtained from vegetable fat (in this case it is Halal) or animal fat (in this case it is Haram). For this reason it is Mushbooh.;Thickener, stabilizer, emulsifiers
E500(i), (ii), (iii);Sodium carbonates: (i) Sodium carbonate (ii) Sodium bicarbonate (Sodium hydrogen carbonate) (iii) Sodium sesquicarbonate (acidity regulator);"acidity regulator,
anticaking agent,
emulsifying salt,
raising agent,
stabilizer,
thickener";Sodium salt of carbonic acid. Natural substance, present as saline deposits left by the water of alkaline lakes. It is also synthesized through the Solvay process or by electrolysis of seawater. Today, the Solvay process is an important part of the global market. The main characteristics of this process are the use of ammonia and carbon dioxide (E290) with sodium chloride. No side effects have been found. In large doses can irritate, corrode the gastrointestinal tract, electrolyte disturbances, vomiting, diarrhea, concussion.;Doubtful, should be certified
E501(i), (ii);Potassium carbonates: (i) Potassium carbonate (ii) Potassium bicarbonate (Potassium hydrogen carbonate);"acidity regulator,
stabilizer, raising
agent";Potassium salt of carbonic acid. Nowadays, commercial potassium carbonate is prepared by electrolysis of potassium chloride (E508). The resulting potassium hydroxide (E525) is then carbonized with carbon dioxide (E290) to form potassium carbonate. No side effects have been found. In large doses can irritate the digestive tract.;Doubtful, should be certified
E503;Ammonium carbonates: (i) Ammonium carbonate (ii) Ammonium bicarbonate (Ammonium hydrogen carbonate);acidity regulator;Ammonium carbonate is prepared by sublimation of a mixture of ammonium sulfate and calcium carbonate, or by passing gaseous carbon dioxide through an absorption column containing an aqueous solution of ammonia and causing distillation. Ammonium carbonate decomposes slowly in several products. In ambient air, but also in hot water, it releases ammonia and carbon dioxide. In high doses can deteriorate the acid base balance of the body, the pH of the urine. Loss of magnesium, calcium and phosphate. It can irritate the digestive tract.;Halal
E504(i), (ii);Magnesium carbonates: (i) Magnesium carbonate (ii) Magnesium bicarbonate Magnesium hydrogen carbonate;"acidity regulator,
anticaking agent,
colour retention
agent, carrier";Magnesium carbonate is usually obtained by extraction of the mineral. Magnesium carbonate can also be synthesized by exposing a slurry of magnesium hydroxide to carbon dioxide under pressure, producing soluble magnesium bicarbonate. It is divided into 2 classes: Magnesium Carbonate and Magnesium Bicarbonate. No side effects have been found.;Doubtful, should be certified
E505;Ferrous carbonate;acidity regulator;It is an iron salt, existing in its natural state or obtained synthetically. The food iron carbonate would be prepared by treating solutions of iron (II) salts with alkali carbonate salts. No side effects have been found. The ingestion of high doses of iron is toxic. Care for people with hemochromatosis.;Halal
E507;Hydrochloric acid;acid;It is a very powerful acid manufactured by synthesis. Hydrochloric acid exists in its natural state as the main constituent of gastric acids. It exists naturally, in your stomach, it is the main component of stomach acids. Discovered by the Arab alchemist Jabir Ibn Hayyan around the year 800. It is used to purify drinking water. At low doses, no side effects have been found. But at great doses it can provoke erosion of the mucous membranes of the esophagus and stomach. The respiratory system as well as the blood circulation may also be affected.;Halal
E508;Potassium chloride ;"firming agent,
flavour enhancer,
stabilizer,
thickener";Salt of hydrochloric acid combined with this metal. It occurs in the form of discolored, elongated, prismatic or cubic crystals, or granular white powder. Without smell. In low doses, no side effects have been found. Although some people cause digestive problems. But at large doses can cause diarrhea, intestinal ulcers and bleeding.;Doubtful, should be certified
E509;Calcium chloride ;"firming agent,
stabilizer,
thickener";Calcium chloride exists in its natural state. But usually it is derived from the salt of Hydrochloric Acid (E507). It is commercially manufactured in 3 ways: (1) by refining salty natural waters, (2) by reaction of calcium hydroxide with ammonium chloride in the synthetic process of Solvay, and (3) by reaction of acid Hydrochloric acid with calcium carbonate. In large quantities can cause: digestion disorders, nausea, vomiting, diarrhea, intestinal ulcers and bleeding, disorders of the heart system.;Doubtful, should be certified
E510;Ammonium chloride, ammonia solution ;improving agent;Ammonium chloride is the ammoniacal salt of hydrochloric acid. In nature, it appears in volcanic regions, settling on the rocks near the volcano's chimneys. It is also found in deep mines. Ammonium chloride is prepared industrially by reaction of ammonia with hydrogen chloride. It can be produced industrially in several ways, in particular through the Solvay process. Ammonium chloride as a food additive is reported, according to the sources consulted, as harmful or harmless. In large quantities can cause: Headache, nausea and vomiting.;Halal
E511;Magnesium chloride;"colour retention
agent, firming
agent, stabilizer";Magnesium chloride is the magnesium salt of hydrochloric acid. It is a compound of natural origin, in particular extracted from seawater by hydrolysis, or from mines (carnallite, bischofite) or synthetically derived from the salt of Hydrochloric Acid (E507). In low doses, no side effects have been found. In large doses could cause digestive discomfort and diarrhea. Caution should be exercised in case of taking antibiotics, as it may decrease the effectiveness of some of them.;Doubtful, should be certified
E512;Stannous chloride;antioxidant;It is obtained from the derivative of the salt of Hydrochloric Acid (E507). Tin chloride can be prepared by dissolving tin metal in hydrochloric acid, the reaction takes time. It is established that pure tin chloride is dangerous by ingestion. In large doses it could cause digestive discomfort and diarrhea.;Halal
E513;Sulfuric acid;acid;Sulfuric acid is manufactured synthetically, mainly from sulfur, oxygen and water, through a process called contact involving a catalyst, but other processes are also implemented on a smaller scale. Pure sulfuric acid is very corrosive, harmful by ingestion, contact and inhalation. It is the vitriol and acid from car batteries. In large doses it is lethal for an adult is between a teaspoon and a half ounce (approximately 15 ml). There is a carcinogenic and or carcinogenic effect by inhalation. Normally it is not used in food products. It is used to make fertilizers and detergents.;Halal
E514(i), (ii);Sodium sulfates (i) Sodium sulfate (ii) sodium bisulfate;acidity regulator;Salt of sulfuric acid combined with sodium, natural or synthetic. It is divided into two classes: Sodium Sulfate and Partner Acid Sulfate. No side effects have been found in low doses. However, in large doses, it can cause: diarrhea and digestive disorders. It is also used in pharmaceuticals, cosmetics, cleaning products and detergent manufacturing.;Doubtful, should be certified
E515;Potassium sulfates (i) potassium sulfate (ii) potassium bisulfate;;Potassium salt of sulfuric acid, natural or synthetic. It is divided into two classes: Potassium Sulfate and Potassium Acid Sulfate. No side effects have been found in low doses. However, in large doses, it can cause: diarrhea and digestive disorders. It is also used in pharmaceuticals, cosmetics, cleaning products and detergent manufacturing.;Halal
E516;Calcium sulfate;"acidity regulator,
firming agent,
flour treatment
agent,
sequestrant,
stabilizer";Calcium salt of sulfuric acid. Of natural or synthetic origin. It is divided into two classes: Calcium Sulfate and Calcium Acid Sulfate. No side effects have been found in low doses. On the other hand, in large doses it can cause: intestinal obstruction and digestive disorders. It is also used in pharmaceuticals, cosmetics, cleaning products and detergent manufacturing.;Doubtful, should be certified
E517;Ammonium sulfate;acidity regulator;Ammonium salt of sulfuric acid, natural or synthetic. It is divided into two classes: Ammonium Sulfate and Ammonium Acid Sulfate. The pure substance is dangerous by contact, ingestion and inhalation. It is potentially mutagenic. No side effects have been found in low doses. However, in large doses it can cause: diarrhea, digestive disorders, cardiac contraction, hypertension. It is also used in pharmaceuticals and cosmetics.;Halal
E518;Magnesium sulfate (Epsom salts), (acidity regulator);firming agent;Magnesium sulfate, or magnesium salt of sulfuric acid, is a compound that contains magnesium, sulfur and oxygen, can be natural or synthetic. It is divided into two classes: Magnesium Sulfate and Magnesium Acid Sulfate. Natural magnesium sulfate and pharmacopoeia: Epsom salt has been used for centuries for several indications: treatment of skin problems, cardiac arrhythmia, eclampsia, asthma, laxative, additive for mineralized baths, nail growth problem. No side effects have been found in low doses. However, in large doses it can cause intestinal problems.;Halal
E519;Copper(II) sulfate;preservative;Copper sulfate is a copper salt of sulfuric acid, it can be either naturally or synthetically. It is divided into two classes: Copper Sulfate and Copper Acid Sulfate. Copper is a paradoxical mineral element, beneficial in the form of trace elements, but can become, in certain conditions, very toxic to humans and certain animals. It is sometimes used to purify drinking water. Copper sulfate is a toxic product for humans and for the environment. In large doses it can cause kidney toxicity, cause of blood disorders, it also causes gastrointestinal-intestinal disorders and is considered neurotoxic.;Halal
E520;Aluminium sulfate;firming agent;Aluminum salt of sulfuric acid, can be natural or synthetic. The anhydrous form naturally exists in the form of a rare mineral (millosevichite), found, for example, in a volcanic environment and by burning the waste from coal mines. It is sometimes used to purify drinking water. and also in cosmetics and some medications. In large doses it is suspected that it promotes the onset of Alzheimer's disease, or Parkinson's disease. It can also cause kidney toxicity.;Halal
E521;Aluminium sodium sulfate;firming agent;Salt of aluminum and sulfuric acid of sodium, can be of natural or synthetic form. It is rarely obtained naturally by the known natural mineral forms of aluminum sulfate and sodium are mendozite and tamarugite. It is usually produced synthetically by a bond of sodium sulfate and aluminum sulfate. It is sometimes used to purify drinking water. and also in refined sugar and as a food additive. In large doses it is suspected that it promotes the onset of Alzheimer's disease, or Parkinson's disease. It can also cause kidney toxicity.;Halal
E522;Aluminium potassium sulfate;acidity regulator;Salt of aluminum and potassium of sulfuric acid, can be natural or synthetic. It is sometimes used to purify drinking water. In large doses it is suspected that it promotes the onset of Alzheimer's disease, or Parkinson's disease. It can also cause kidney toxicity.  ;Halal
E523;Aluminium ammonium sulfate;acidity regulator;Salt of aluminum and ammonium of sulfuric acid, can be natural or synthetic. It is sometimes used to purify drinking water. It is known that pure aluminum and ammonium sulfate is dangerous by ingestion and inhalation. Chronic ingestion can affect the brain and bones. In large doses it is suspected that it promotes the onset of Alzheimer's disease, or Parkinson's disease. It can also cause kidney toxicity.;Halal
E524;Sodium hydroxide;acidity regulator;It is obtained by electrolysis of sodium chloride. Majority to date by electrolysis with mercury cathode. But mercury is a harmful heavy metal by bioaccumulation and in a very low dose. In low doses it is safe and harmless. But in high doses can cause irritation of the digestive tract.;Doubtful, should be certified
E525;Potassium hydroxide;acidity regulator;Potassium hydroxide is produced by electrolysis of potassium chloride. This operation also produces chlorine and hydrogen. Sodium does not exist as a pure body in nature, but it is very abundant in the form of compounds, for example, in table salt, essentially composed of sodium chloride. In low doses it is safe and harmless. But in high doses can cause irritation of the digestive tract.;Doubtful, should be certified
E526;Calcium hydroxide (acidity regulator);firming agent;Calcium hydroxide is a synthetic substance, obtained by mixing quick lime (calcium oxide, E529) with water. In the laboratory, this can be achieved by mixing an aqueous solution of calcium chloride (E509) with sodium hydroxide (E524). This additive is used for food, pharmaceutical, cosmetic, cement and other construction materials.    In low doses it is safe and harmless. But in high doses can cause irritation of the digestive tract.;Halal
E527;Ammonium hydroxide;acidity regulator;Ammonium hydroxide is a solution formed from ammonia, a gas with an extremely irritating odor. The industrial production is mainly by direct synthesis from dihydrogen and nitrous. This additive is discouraged, as there may be risks of skin reactions, digestive disorders, ulcers and blood disorders. The results suggest that exposure to ammonia may promote gastric cancer induced by other substances. This additive is used for food, pharmaceutical, cosmetic and other products.;Doubtful, should be certified
E528;Magnesium hydroxide;acidity regulator;Magnesium hydroxide, exists in natural mineral form, but most of its industrial use would result from synthetic production, especially due to seawater. This additive is used for food, pharmaceutical, cosmetic and other products. In low doses, no side effects have been found. However, in large doses it can cause irritation of the digestive tract or laxative effect. Keep in mind that it can disturb the absorption of folic acid (vitamin B9) and iron.;Halal
E529;Calcium oxide (acidity regulator);improving agent;Calcium oxide is obtained by calcination of calcium carbonate (E170). It is also called Lime . Lime is a potentially dangerous product, used mainly in industry and agriculture. Hydrophilic, it is used to dry and destroy organic matter rich in water. When mixing large amounts of quicklime and water, the heat released is such that the water can boil. In low doses, no side effects have been found.;Halal
E530;Magnesium oxide (acidity regulator);anti-caking agent;Calcium Oxide is obtained by calcination of Magnesium Carbonate (E504). Magnesium oxide exists in a natural mineral form, but it is also synthesized. Magnesium acts as a laxative in high concentration. Magnesium oxide is part of pharmaceuticals and is used as an antacid to treat heartburn, as a fast laxative in high concentration. In low doses, no side effects have been found.;Halal
E535;Sodium ferrocyanide (acidity regulator);anti-caking agent;Sodium ferrocyanide is a synthetic product. It is manufactured industrially from hydrogen cyanide, iron chloride and calcium hydroxide. It is interesting to note that the ferrocyanide salts become unstable and toxic in acid solutions. As a food additive, there are no known side effects in doses below the daily intake.;Halal
E536;Potassium ferrocyanide;anti-caking agent;Potassium ferrocyanide is a synthetic product. It is manufactured industrially from hydrogen cyanide, ferrous chloride and calcium hydroxide and potassium carbonate It is interesting to note that the ferrocyanide salts become unstable and toxic in acid solutions. As a food additive, there are no known side effects in doses below the daily intake.;Halal
E537;Ferrous hexacyanomanganate;anti-caking agent;Potassium ferrocyanide is a synthetic product. It is manufactured industrially from hydrogen cyanide, ferrous chloride (E526), calcium hydroxide and calcium carbonate It is interesting to note that the ferrocyanide salts become unstable and toxic in acid solutions. As a food additive, there are no known side effects in doses below the daily intake.;Halal
E538;Calcium ferrocyanide;anti-caking agent;Calcium ferrocyanide is a synthetic product. It is manufactured industrially from hydrogen cyanide, ferrous chloride (E526), calcium hydroxide and calcium carbonate. It is interesting to note that the ferrocyanide salts become unstable and toxic in acid solutions. As a food additive, there are no known side effects in doses below the daily intake.;Halal
E539;Sodium thiosulfate;antioxidant;Sodium salt of thiosulfuric acid, synthetic. On an industrial scale, it is produced mainly from liquid waste from the production of sodium sulphide or from the production of sulfur dyes. The toxicology of sodium thiosulfate has not been fully investigated. The pure compound can be reported for low toxicity. Sodium thiosulfate is broken down in contact with acids and heat, with the emission of sulfur dioxide among others. It is better to avoid cooking with this additive.;Halal
E540;Dicalcium diphosphate[citation needed] (acidity regulator);emulsifier;Synthetic additive, is obtained from phosphoric acid derivative. Pure phosphoric acid is a corrosive substance, harmful by ingestion and by contact or even by inhalation. It is an additive that exists in many foods, it is important to take into account its high consumption.;Halal
E541;Sodium aluminium phosphate (i) Acidic (ii) Basic;emulsifier;Aluminum and sodium salt of phosphoric acid, made of aluminum or aluminum oxide, phosphoric acid and sodium carbonate or hydroxide. It is divided into 2 classes: Sodium and Aluminum Acid Phosphate (E541i) and Basic Sodium and Aluminum Phosphate (E541ii). It is considered toxic additive since there are risks of accumulation of aluminum in certain tissues, several studies report neurotoxic effects, possible contribution with Alzheimer's and Parkinson's. In cases of large doses there are risks such as toxins in the kidneys and heart.;Halal
E542;Bone phosphate (Essentiale Calcium Phosphate, Tribasic);"anticaking agent,
Emulsifier,
Humectant";It consists of tricalcium phosphate, derived from steam under pressure or calcination of bone or ground bone of pigs and or bovines, causing slaughterhouse waste. It is considered that it should not be mixed with horns, nor hair. Phosphates can be converted into polyphosphates, causing digestive disorders, blocking many enzymes. Descaling of children. It is considered that evidence was detected that bovine spongiform encephalopathy (the condition called mad cow) could be caused by adding this additive in cattle feed.;Doubtful, should be certified
E543;Calcium sodium polyphosphate;emulsifier;Produced from sodium phosphate and calcium phosphate from no-animal origin.;Halal
E544;Calcium polyphosphate;emulsifier;It is obtained from derivative of Phosphoric Acid (E338). In large doses can cause hyperactivity and digestive problems. It is generally used to increase the mass of foods such as meats and sausages sold by weight. The origin of this additive can be of animal bones or pig origin, in this case it is Haram. But rarely its origin can come from minerals, in this case it is Halal. For this reason it is Mushbooh.;Halal
E545;Ammonium polyphosphate;emulsifier;Inorganic salt of polyphosphoric acid and ammonia. Ammonium polyphosphate can be prepared by reacting concentrated phosphoric acid with ammonia. Ammonium polyphosphate would also be used as chemical fertilizer and flame retardant in paints (pigments, binders and biocides) and in the manufacture processing of pulp and paper. It is also used as a nutrient for yeasts and increases the binding properties of water. The origin of this additive can be of animal bones or pig origin, in this case it is Haram. But rarely its origin can come from minerals, in this case it is Halal. For this reason it is Mushbooh.;Halal
E550;Sodium Silicates (i) Sodium silicate (ii) Sodium metasilicate;anti-caking agent;Sodium silicate is formed naturally by the reaction of silica (or silicon dioxide, E551) with sodium carbonate (E500) in the molten state. It is a strong base that forms very alkaline, corrosive solutions for the skin and mucous membranes. It is divided into 2 classes: Sodium Silicate and Sodium Metasilicate.    It is used in some pharmaceutical products, cosmetics, soaps and detergents. The detergents that contain this product are powerful irritants for the skin, the eyes and the respiratory tract.;Halal
E551;Silicon dioxide (Silica);"anticaking agent,
antifoaming
agent, carrier";Silicon dioxide is a combination of oxygen and synthetic silicon, but it also exists in abundance in nature. Silicon dioxide and silicates exist naturally in plant foods, particularly cereals. It is used in various types of products: pharmaceuticals, perfumes, cosmetics and food manufacturing. Silicon dioxide is generally considered harmless as an additive. However, silicon dioxide is one of the additives that today can be marketed in the form of nanoparticles. Food nanotechnology poses serious health problems in the medium and long term, and is not sufficiently regulated by law. Since they can have (due to their very small size) very different toxicokinetic properties.;Doubtful, should be certified
E552;Calcium silicate;anti-caking agent;Calcium silicates exist in their natural state (limestone), but are produced by synthesis from the reaction of lime (E529) and silica (E551) in varying proportions. E552 is authorized as an additive for the treatment of chewing gum by recovery, but it is also an additive support used especially in the manufacture of emulsifiers and dyes, in potassium chloride preparations for the purpose of salt replacement products. In nutritious preparations in dry powder. It is also used for pharmaceuticals, cosmetics, various industrial uses.;Halal
E553a;(i) Magnesium silicate (ii) Magnesium trisilicate;anti-caking agent;Produced from magnesium sulphate and sodium silicate or directly from minerals such as talcum, sepiolite and steatite.;Halal
E553b;Talc;anti-caking agent;Produced from magnesium sulphate and sodium silicate or directly from minerals such as talcum, sepiolite and steatite.;Halal
E554;Sodium aluminosilicate (sodium aluminium silicate);anti-caking agent;Sodium aluminosilicate is an acid salt that contains sodium, aluminum, silicon and oxygen. This includes synthetic amorphous sodium aluminosilicate, some natural minerals and synthetic zeolites. Synthetic amorphous sodium aluminosilicate is widely used as a food additive (E554). It is potentially toxic and neurotoxic because of aluminum. some reports link it to Alzheimer's disease, Parkinson's. Some sources report a harmful potential for bones and kidneys, the fetus and reproduction. Apart from being used as a food additive, it is also used for pharmaceutical products.;Halal
E555;Potassium aluminium silicate;anti-caking agent;Aluminum potassium silicate is a potassium salt of silicic aluminum. Muscovite and phlogopite are the two main commercial micas. Micas are usually found in ordinary rocks. With quartz and feldspar, it is one of the components of granite. It would be synthesized from calcined kaolinite. It is potentially toxic and neurotoxic because of aluminum. some reports link it to Alzheimer's disease, Parkinson's. It is also harmful to the bones and kidneys and the fetus. Apart from being used as a food additive, it is also used for pharmaceutical products.;Halal
E556;Calcium aluminosilicate (calcium aluminium silicate);anti-caking agent;Calcium silicoaluminate is the calcium and aluminum salt of silicic acid, it exists naturally as a mineral species of the group of silicates (anortite), present especially in metamorphic and magmatic rocks. It can be produced industrially from calcium hydroxide and kaolinite, a mineral species composed of hydrated aluminum silicate. It is potentially toxic and neurotoxic because of aluminum. some reports link it to Alzheimer's disease, Parkinson's. It is also harmful to the bones and kidneys and the fetus.   ;Doubtful, should be certified
E557;Zinc silicate;anti-caking agent;The zinc salt of silicic acid exists in its natural state in mineral form (Willemite). It is produced from silicon oxide (quartz) and zinc oxide. Its function is to help prevent food particles from sticking. It is also used in cosmetics (deodorants). No side effects have been found.;Halal
